Weekly Infectious Disease Bulletin - Year 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyclinic attendances - Average Daily numbers,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Viral Hepatitis A,Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue Fever,Dengue Haemorrhagic Fever,Malaria,Chikungunya Fever,"Hand, Foot Mouth Disease",Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah virus infection,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enterosis,Acute Viral hepatitis C,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
11,10/3/13,16/3/13,0,0,1,1,3,0,0,0,307,1,2,1,465,0,0,9,0,0,0,0,0,1,7,0,0,0,0,0,0,32,0,2500,101,465,17
12,17/3/13,23/3/13,0,0,0,1,1,0,0,0,305,2,1,3,351,0,0,11,0,0,0,2,0,0,4,0,0,0,0,0,0,31,0,2148,93,365,13
13,24/3/13,30/3/13,0,0,4,5,1,0,0,0,314,2,1,3,350,0,0,9,1,0,0,4,0,0,1,0,2,0,0,8,0,22,0,2343,118,456,18
14,31/3/13,6/4/13,0,2,1,1,1,0,0,0,402,4,3,6,438,0,1,11,1,0,0,1,1,0,8,0,3,0,0,2,0,39,0,2395,106,454,15
15,7/4/13,13/4/13,0,0,1,2,1,0,0,0,491,1,4,14,461,0,0,14,2,0,0,1,0,1,18,0,0,0,0,1,0,32,0,2500,103,461,14
16,14/4/13,20/4/13,0,0,1,1,1,0,0,0,505,4,4,35,504,0,1,17,2,0,0,1,3,0,13,0,0,0,0,2,0,30,0,2688,95,459,16
17,21/4/13,27/4/13,0,1,1,4,2,0,0,0,536,2,2,24,572,0,0,15,0,0,0,1,0,0,7,0,0,0,0,6,0,51,0,2699,95,444,13
18,28/4/13,4/5/13,0,0,2,3,0,0,0,0,547,0,4,19,595,0,2,10,0,0,0,1,0,0,8,0,0,0,0,6,0,25,0,2854,90,492,21
19,5/5/13,11/5/13,0,0,2,3,0,0,0,0,556,2,5,29,627,0,2,11,1,0,0,4,0,1,5,0,0,0,0,0,0,30,0,2747,91,478,14
20,12/5/13,18/5/13,0,1,4,2,3,0,0,0,611,0,2,28,697,0,1,10,1,0,0,2,0,0,8,0,1,0,0,11,1,45,0,2519,90,452,18
21,19/5/13,25/5/13,0,0,3,0,2,0,0,0,637,3,7,15,662,0,1,5,2,0,0,2,0,0,13,0,0,0,0,2,0,27,0,2726,90,452,11
22,26/5/13,1/6/13,0,1,1,0,1,0,0,0,742,4,1,31,774,0,0,10,0,0,0,2,1,0,4,0,0,0,1,3,0,42,0,2733,85,460,13
23,2/6/13,8/6/13,0,0,1,0,2,0,0,0,813,1,1,40,697,0,1,14,0,0,0,0,1,1,11,0,1,0,0,3,0,51,0,2434,76,403,9
24,9/6/13,15/6/13,0,0,5,3,2,0,0,0,805,4,5,39,736,0,0,6,2,0,0,2,1,0,2,0,0,0,0,3,1,32,0,2330,80,378,10
25,16/6/13,22/6/13,0,0,1,0,4,0,0,0,838,4,0,45,581,0,0,10,1,0,0,0,0,0,6,0,0,0,2,0,1,33,0,2755,104,317,13
26,23/6/13,29/6/13,0,0,1,2,1,0,0,0,802,4,5,24,461,0,0,10,2,0,0,3,0,0,2,1,3,0,0,4,1,32,0,2413,91,372,10
27,30/6/13,6/7/13,0,0,3,4,0,0,0,0,676,2,1,26,441,0,0,16,1,0,0,2,0,0,7,0,1,0,1,4,0,30,0,2368,88,501,14
28,7/7/13,13/7/13,0,0,1,1,1,0,0,0,540,1,0,26,482,0,0,12,0,0,0,0,1,1,7,0,0,0,0,2,1,44,0,2371,84,523,15
29,14/7/13,20/7/13,0,0,3,0,1,0,0,0,389,1,7,16,578,0,0,16,1,0,0,1,2,0,10,0,1,1,0,1,0,32,0,2543,88,544,14
30,21/7/13,27/7/13,0,0,2,2,0,0,0,0,305,1,3,20,590,0,1,7,2,0,0,1,1,1,8,1,1,0,0,0,0,30,0,2423,85,525,15
31,28/7/13,3/8/13,0,0,1,1,1,0,0,0,288,1,1,22,659,0,1,17,1,0,0,2,1,0,8,0,1,0,0,4,1,30,0,2476,91,544,20
32,4/8/13,10/8/13,0,1,0,1,0,0,0,0,255,1,7,7,577,0,0,13,0,0,0,0,1,1,7,0,1,0,1,2,0,18,0,2426,91,547,15
33,11/8/13,17/8/13,0,0,1,2,2,0,0,0,378,0,5,26,743,0,0,9,1,0,0,1,1,1,3,0,0,0,0,3,0,28,0,2700,97,586,18
34,18/8/13,24/8/13,0,0,1,0,0,0,0,0,338,3,3,15,798,0,2,9,1,0,0,1,2,0,13,0,1,0,2,3,0,21,0,2565,100,547,22
35,25/8/13,31/8/13,0,0,3,0,0,0,0,0,382,4,2,38,887,0,3,12,0,0,0,1,1,0,4,0,0,0,0,4,0,37,0,2380,88,508,16
36,1/9/13,7/9/13,0,0,2,2,0,0,0,0,449,3,0,42,860,0,1,8,0,0,0,0,1,1,3,0,0,0,1,2,0,38,0,2262,92,455,15
37,8/9/13,14/9/13,0,1,3,0,0,0,0,0,337,2,3,39,960,0,2,4,0,0,0,1,0,1,8,0,0,0,0,2,0,34,0,2211,84,454,15
38,15/9/13,21/9/13,0,0,0,0,2,0,0,0,370,6,3,49,1062,0,0,7,1,0,0,0,0,1,11,0,0,0,0,2,0,46,0,2373,98,515,25
39,22/9/13,28/9/13,0,0,0,2,0,0,0,0,402,4,5,32,1108,0,6,2,1,0,0,1,0,0,6,0,1,0,2,1,0,53,0,2180,91,490,20
40,29/9/13,5/10/13,1,0,2,0,0,0,0,0,439,2,2,17,1077,0,0,4,2,0,0,2,0,0,5,0,3,0,2,5,0,65,0,2301,82,472,21
41,6/10/13,12/10/13,0,1,1,0,0,0,0,0,435,3,0,23,1247,0,2,9,2,0,0,1,0,0,10,0,0,0,0,0,0,46,0,2429,90,453,17
42,13/10/13,19/10/13,0,1,1,1,1,0,0,0,371,3,0,16,1147,0,2,4,0,0,0,2,1,0,0,0,0,0,0,1,2,39,0,2429,86,481,21
43,20/10/13,26/10/13,1,1,1,1,1,0,0,0,495,0,1,21,1029,0,3,3,1,0,0,0,0,1,9,0,0,0,0,4,0,37,0,2401,80,456,18
44,27/10/13,2/11/13,0,0,0,7,0,0,0,0,457,1,0,22,914,0,2,6,1,0,0,2,2,0,6,0,1,0,0,4,0,27,0,2155,77,397,16
45,3/11/13,9/11/13,0,1,0,2,0,0,0,0,401,1,2,31,1002,0,4,4,1,0,0,1,1,1,7,0,1,0,0,3,1,46,0,3018,97,515,19
46,10/11/13,16/11/13,0,0,1,3,0,0,0,0,442,2,1,23,849,0,0,10,1,0,0,1,0,0,12,0,4,0,1,1,0,26,0,2494,86,420,13
47,17/11/13,23/11/13,0,0,1,1,3,0,0,0,365,0,2,36,740,0,1,11,1,0,0,2,1,0,8,0,0,0,0,9,0,29,0,2576,87,387,16
48,24/11/13,30/11/13,0,0,2,1,0,0,0,0,372,0,3,27,607,0,0,6,1,0,0,0,1,0,6,0,0,0,0,3,0,45,0,2363,79,398,14
49,1/12/13,7/12/13,0,0,1,4,2,0,0,0,347,0,1,32,628,0,1,9,2,0,0,1,2,3,8,0,0,0,0,7,0,27,0,2526,91,423,11
50,8/12/13,14/12/13,0,0,0,6,1,0,0,0,380,1,1,23,575,0,0,4,0,0,0,0,0,2,8,0,0,1,0,4,0,33,0,2509,76,396,10
51,15/12/13,21/12/13,0,2,1,0,0,0,0,0,371,0,1,33,542,0,2,10,0,0,0,2,0,0,14,0,0,0,0,4,0,28,0,2458,74,369,8
52,22/12/13,28/12/13,0,1,3,0,1,0,0,0,414,0,3,20,363,0,3,9,0,0,0,1,0,2,6,0,1,0,0,4,0,20,0,2605,88,420,16
