Weekly Infectious Disease Bulletin - Year 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyclinic attendances - Average Daily numbers,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
11,12/3/17,18/3/17,0,0,1,2,0,0,0,0,34,1,1,0,797,0,1,14,0,0,0,0,0,0,8,0,1,3,0,2,2,0,31,0,0,0,0,0,0,0,2711,100,428,14
12,19/3/17,25/3/17,0,0,0,2,3,0,0,0,32,0,0,2,790,0,2,8,0,0,0,0,0,1,7,0,0,1,0,0,3,0,63,0,1,0,0,0,0,1,2977,124,515,17
13,26/3/17,1/4/17,0,0,0,3,2,0,0,0,49,1,0,0,663,0,4,12,0,0,0,0,0,2,7,0,0,1,1,0,5,0,45,0,2,0,0,0,0,0,2839,113,486,16
14,2/4/17,8/4/17,0,0,2,2,1,0,0,0,37,0,1,1,695,0,3,13,0,0,0,0,0,0,9,0,1,0,1,2,0,1,33,0,5,0,0,0,0,0,3023,98,531,16
15,9/4/17,15/4/17,0,0,1,2,1,0,0,0,32,0,1,0,654,0,2,7,0,0,0,0,0,0,4,0,1,0,1,1,2,0,42,0,5,0,0,0,0,0,3164,99,548,22
16,16/4/17,22/4/17,0,0,1,4,0,0,0,0,51,0,2,0,762,0,2,12,0,0,0,0,0,0,8,1,2,2,0,0,2,0,31,0,5,0,0,0,0,0,3202,99,546,16
17,23/4/17,29/4/17,0,0,1,4,2,0,0,0,37,0,0,0,752,0,0,7,1,0,0,0,0,0,11,0,1,0,0,0,0,0,32,0,7,0,0,0,0,0,3189,95,566,18
18,30/4/17,6/5/17,0,1,1,2,0,0,0,0,42,0,2,0,755,0,0,13,1,0,0,0,0,1,6,0,0,1,0,1,1,0,43,0,3,0,0,0,0,0,3452,108,542,21
19,7/5/17,13/5/17,0,1,0,1,0,0,0,0,48,0,0,0,732,0,0,8,1,0,0,1,0,1,9,0,1,2,0,0,4,0,38,0,1,0,0,0,0,0,3645,103,596,19
20,14/5/17,20/5/17,0,0,0,2,2,0,0,0,48,2,0,1,793,0,2,7,0,0,0,1,0,1,10,0,1,1,0,0,3,0,40,0,1,0,0,0,0,0,3500,88,565,15
21,21/5/17,27/5/17,0,1,0,1,0,0,0,0,50,0,2,0,789,0,2,10,1,0,0,0,0,0,9,0,2,0,0,0,6,0,44,0,4,0,0,0,0,0,3440,84,548,14
22,28/5/17,3/6/17,1,0,2,3,1,0,0,0,66,0,0,0,713,0,0,8,0,0,0,0,0,1,7,0,3,2,0,1,10,1,65,0,3,0,0,0,0,0,3241,84,484,10
23,4/6/17,10/6/17,0,0,0,1,1,0,0,0,62,0,0,2,607,0,2,9,0,0,0,0,0,0,9,1,2,1,0,3,3,0,36,0,1,0,0,0,0,0,2842,87,468,14
24,11/6/17,17/6/17,0,0,2,1,0,0,0,0,79,1,0,1,520,0,3,8,0,0,0,1,0,0,4,0,1,0,0,0,3,0,49,0,1,0,0,0,0,0,2476,83,464,10
25,18/6/17,24/6/17,0,1,1,0,2,0,0,0,73,0,1,2,554,0,1,10,0,0,0,0,0,1,5,0,0,0,0,0,2,0,33,0,2,0,0,0,0,0,2374,82,455,12
26,25/6/17,1/7/17,0,0,1,2,1,0,0,0,75,0,1,2,436,0,2,12,1,0,0,1,0,1,13,1,0,4,0,1,2,0,28,0,1,0,0,0,0,0,2793,84,617,19
27,2/7/17,8/7/17,0,1,1,0,2,0,0,0,63,0,3,1,572,0,1,9,0,0,0,1,0,1,16,0,2,1,0,1,4,0,41,0,0,0,0,0,0,0,2835,77,529,13
28,9/7/17,15/7/17,0,1,1,1,3,0,0,0,53,0,0,1,661,0,0,6,0,0,0,2,0,0,8,1,0,0,0,2,4,0,31,0,1,0,0,0,0,0,3191,85,616,17
29,16/7/17,22/7/17,0,1,1,2,0,0,0,0,51,0,0,0,692,0,1,9,0,0,0,1,0,0,9,2,1,1,0,1,2,0,30,0,0,0,0,0,0,0,3355,96,612,14
30,23/7/17,29/7/17,0,1,0,2,4,0,0,0,66,1,1,0,803,0,0,15,0,0,0,0,0,0,15,0,1,0,0,1,8,0,45,0,6,0,0,0,0,0,3132,88,605,14
31,30/7/17,5/8/17,0,0,0,2,4,0,0,0,60,0,1,1,872,1,0,7,0,0,0,0,0,0,13,0,0,0,0,1,2,0,40,0,6,0,0,0,0,0,2867,87,576,16
32,6/8/17,12/8/17,0,0,3,2,0,0,0,0,56,0,1,1,695,0,2,15,1,0,0,2,0,0,9,0,3,1,0,2,2,0,46,0,2,0,0,0,0,2,2783,87,597,15
33,13/8/17,19/8/17,0,0,0,2,7,0,0,0,52,1,1,2,711,0,0,5,2,0,0,1,0,0,15,0,2,0,0,0,6,0,27,0,2,0,0,0,0,0,2893,80,599,12
34,20/8/17,26/8/17,0,0,2,1,1,0,0,0,51,1,1,1,840,0,0,13,3,0,0,1,0,0,7,1,1,2,0,3,4,0,37,0,0,0,0,0,0,0,2771,78,568,15
35,27/8/17,2/9/17,0,0,1,0,3,0,0,0,33,0,3,0,761,0,1,12,0,0,0,1,0,0,13,0,0,2,0,5,4,0,39,0,1,0,0,0,0,0,2502,81,481,17
36,3/9/17,9/9/17,0,0,1,2,3,0,0,0,40,0,1,1,659,1,1,14,1,0,0,0,0,1,13,2,2,1,1,0,4,0,46,0,0,0,0,0,0,0,2378,75,461,13
37,10/9/17,16/9/17,0,1,0,1,2,0,0,0,53,0,1,0,717,0,1,5,0,0,0,1,0,1,11,0,0,1,0,5,2,0,41,0,0,0,0,0,0,0,2489,80,529,13
38,17/9/17,23/9/17,0,1,1,3,4,0,0,0,58,1,1,0,708,0,2,12,0,0,0,1,0,0,12,0,1,0,0,2,1,0,39,0,0,0,0,0,0,0,2665,84,510,10
39,24/9/17,30/9/17,0,0,0,0,0,0,0,0,39,0,0,0,672,0,1,14,0,0,0,2,0,1,17,0,1,1,0,1,4,0,27,0,1,0,0,0,0,0,2686,80,483,10
40,1/10/17,7/10/17,0,0,1,0,1,0,0,0,51,1,1,1,622,0,0,12,0,0,0,0,0,0,10,1,1,2,0,1,1,0,33,0,0,0,0,0,0,0,2881,71,504,11
41,8/10/17,14/10/17,0,0,3,2,0,0,0,0,55,0,0,1,721,0,0,13,0,0,0,2,0,1,4,1,0,3,1,2,1,0,34,0,0,0,0,0,0,0,3016,80,518,12
42,15/10/17,21/10/17,1,0,1,5,1,0,0,0,62,1,1,1,635,0,1,9,0,0,0,2,0,0,5,1,0,0,1,2,3,0,38,0,0,0,0,0,0,0,3125,88,575,14
43,22/10/17,28/10/17,1,0,2,1,2,0,0,0,77,0,1,0,549,0,1,11,0,0,0,0,0,0,13,1,2,1,0,2,1,0,37,0,0,0,0,0,0,0,2869,74,532,11
44,29/10/17,4/11/17,0,0,2,1,3,0,0,0,62,0,1,1,553,0,1,8,0,0,0,0,0,0,21,0,1,0,1,2,4,0,50,0,0,0,0,0,0,0,2882,80,507,11
45,5/11/17,11/11/17,0,0,1,1,0,0,0,0,44,0,1,0,474,0,0,11,1,0,0,0,0,0,10,0,1,3,0,3,2,1,35,0,0,0,0,0,1,0,2862,77,519,13
46,12/11/17,18/11/17,0,0,0,1,1,0,0,0,50,0,1,1,550,0,1,6,0,0,0,0,0,1,9,0,1,2,0,2,1,0,33,0,1,0,0,0,0,0,2939,80,544,14
47,19/11/17,25/11/17,0,0,1,0,2,0,0,0,24,0,1,0,482,0,0,8,0,0,0,0,0,0,15,1,0,1,1,1,5,0,27,0,0,0,0,0,0,0,2910,76,504,14
48,26/11/17,2/12/17,0,0,3,3,1,0,0,0,37,1,2,3,463,0,0,9,0,0,0,4,0,0,11,1,3,0,1,4,2,0,38,0,0,0,0,0,0,0,2836,83,502,14
49,3/12/17,9/12/17,0,0,1,2,5,0,0,0,33,1,2,1,416,0,0,11,0,0,0,0,0,1,12,0,2,0,0,1,6,0,36,0,0,0,0,0,0,0,2711,82,500,10
50,10/12/17,16/12/17,0,0,1,1,0,0,0,0,40,0,0,0,460,0,1,6,0,0,0,0,0,0,11,2,0,2,0,3,2,0,44,0,0,0,0,0,0,0,2677,82,483,13
51,17/12/17,23/12/17,0,0,1,1,0,0,0,0,51,0,0,0,412,0,0,11,1,0,0,0,0,0,13,0,2,0,1,2,2,1,36,0,0,0,0,0,0,3,2729,93,466,10
52,24/12/17,30/12/17,0,0,1,0,0,0,0,0,66,0,0,0,325,0,6,7,0,0,0,0,0,1,5,1,1,0,0,2,3,0,42,0,0,0,0,0,0,0,2836,88,485,15
