Weekly Infectious Disease Bulletin - Year 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyclinic attendances - Average Daily numbers,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Viral Hepatitis A,Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue Fever,Dengue Haemorrhagic Fever,Malaria,Chikungunya Fever,"Hand, Foot Mouth Disease",Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah virus infection,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacterenterosis,Acute Viral hepatitis C,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
34,23/8/15,29/8/15,1,0,2,0,1,0,0,0,225,0,1,0,533,0,0,10,0,0,0,0,1,0,8,0,1,0,1,5,0,50,0,2625,80,477,17
35,30/8/15,5/9/15,0,0,0,5,0,0,0,0,246,0,0,0,483,0,0,9,1,0,0,0,1,0,11,0,0,0,0,3,0,58,0,2423,75,439,12
36,6/9/15,12/9/15,0,0,1,1,1,0,0,0,217,0,3,1,407,0,0,7,0,0,0,1,0,0,9,1,0,0,3,5,0,42,0,2280,84,396,15
37,13/9/15,19/9/15,0,0,1,2,1,0,0,0,303,0,1,0,414,0,2,14,0,0,0,0,2,0,7,0,1,0,0,5,0,43,0,2821,95,413,14
38,20/9/15,26/9/15,0,1,0,1,0,0,0,0,214,0,1,1,403,0,1,2,0,0,0,4,1,0,11,1,2,0,0,1,0,41,0,2738,97,430,16
39,27/9/15,3/10/15,0,0,1,0,1,0,0,0,257,0,2,3,441,0,1,12,0,0,0,0,1,0,5,0,1,0,3,1,1,39,0,2929,101,395,14
40,4/10/15,10/10/15,0,0,1,0,1,0,0,0,235,0,1,1,431,0,0,8,1,0,0,1,0,0,6,24,1,0,1,0,0,47,0,2619,84,433,14
41,11/10/15,17/10/15,0,0,0,0,1,0,0,0,235,0,1,4,585,0,1,8,0,0,0,2,0,1,4,2,2,0,0,2,0,42,0,2529,75,443,13
42,18/10/15,24/10/15,0,1,1,1,4,0,0,0,224,0,0,1,477,0,1,6,0,0,0,0,1,1,10,3,1,0,2,3,0,51,0,2612,81,452,12
43,25/10/15,31/10/15,1,1,3,1,3,0,0,0,246,0,1,0,438,0,1,12,2,0,0,0,0,0,10,1,0,0,1,4,0,39,0,2588,88,432,13
44,1/11/15,7/11/15,0,1,1,1,3,0,0,0,266,0,0,2,502,0,0,6,0,0,0,7,2,0,9,1,0,0,2,1,0,40,0,2533,75,453,14
45,8/11/15,14/11/15,0,0,0,1,1,0,0,0,198,0,0,1,523,0,0,9,0,0,0,2,0,0,8,1,0,1,1,0,0,58,0,2721,71,519,17
46,15/11/15,21/11/15,0,0,0,2,2,0,0,0,254,0,0,0,600,0,0,10,0,0,0,1,1,0,10,0,1,1,0,2,1,52,0,2673,70,460,11
47,22/11/15,28/11/15,1,0,0,0,3,0,0,0,285,1,4,1,610,0,2,10,0,0,0,1,0,0,6,1,0,0,3,2,0,48,0,2488,65,455,13
48,29/11/15,5/12/15,0,0,0,2,2,0,0,0,259,0,1,1,533,0,0,8,0,0,0,0,0,1,8,0,0,0,2,8,0,46,0,2455,68,447,7
49,6/12/15,12/12/15,0,1,1,0,0,0,0,0,356,1,0,0,568,0,0,6,1,0,0,1,1,1,9,0,0,0,2,1,0,41,0,2319,76,438,9
50,13/12/15,19/12/15,0,0,1,1,2,0,0,0,333,0,0,0,548,0,0,3,1,0,0,0,0,0,16,1,1,0,2,0,0,48,0,2304,77,429,10
51,20/12/15,26/12/15,0,0,3,0,3,0,0,0,372,0,1,0,432,0,1,11,0,0,0,2,1,0,7,0,2,0,0,2,0,58,0,2414,89,436,15
52,27/12/15,2/1/16,0,1,0,0,3,0,0,0,459,0,0,0,370,0,0,7,0,0,0,1,0,1,8,0,1,0,0,2,0,40,0,2494,97,468,15
