title,abstract,year,tokens
Digital twins of product families in aviation based on an MBSE-assisted approach,"In this paper an approach to combine the basic concept of Digital Twins with research in product family development applied to civil aviation is presented. Concomitant benefits but also challenges regarding the management of information are introduced as well as the possibility to solve them by using the tools and methods of Model-Based Systems Engineering. As this conjoins three different topics, the basics of each of them in reference to the approach is introduced before they are subsequently combined. In the process, respective past and future research is presented as well.",2021,"combine basic concept digital twin research family applied civil aviation presented . concomitant benefit challenge regarding management introduced possibility solve model-based . conjoins three different topic , basic reference introduced subsequently combined . , respective past future research presented ."
Extension of the Modeling Tool Suite for Development of Embedded Systems for the Space Domain,"As code complexity continues to increase, software development methods must support the handling of this complexity and reduce development failures. Model-based systems engineering (MBSE) is a modeling-centered development method that provides support to maintain consistency of different phases of the life cycle. Automatic code generation tools were created to reuse software solutions and design patterns and reduce development errors in the software development process, based on automatic model transformations and code generators. However, the use of these tools requires their adaptation to specific platforms and domains since tools only support certain functionalities. What determines how to approach the design of the system are the functionalities provided by the tools available rather than the user needs. In this paper, we propose a way to extend the elements supported by modelling tool suites for real-time embedded systems for the space domain. This enables developers to have greater flexibility by allowing them to modify their tool suite to fit their needs.",2022,"code continues increase , software must support handling reduce failure . model-based ( ) modeling-centered provides support maintain consistency different phase life cycle . automatic code generation created reuse software solution pattern reduce error software , automatic transformation code generator . , requires adaptation specific platform domain since support certain functionality . determines functionality provided available rather user need . , propose way extend element supported modelling suite real-time embedded space domain . enables developer greater flexibility allowing modify suite fit need ."
Chapter 2 - Model-Based Systems Engineering,"Publisher Summary
This chapter summarizes model-based systems engineering (MBSE) concepts to provide further context for SysML without emphasizing the specific modeling language, method, or tools. MBSE is contrasted with the more traditional document-based approach to promote the use of MBSE and highlight its benefits. Principles for effective modeling are also discussed in the chapter. The practice of systems engineering is transitioning from a document-based approach to a model-based approach like many of the other engineering disciplines, such as mechanical and electrical engineering. MBSE offers significant potential benefits to enhance communications, specification and design precision, design integration, and reuse that can improve design quality and productivity and reduce development risk. The emphasis in MBSE is on producing and controlling a coherent system model and using this model to specify and design the system.",2008,"publisher summary chapter summarizes model-based ( ) concept provide context without emphasizing specific , , . contrasted traditional document-based promote highlight benefit . principle effective discussed chapter . practice transitioning document-based model-based like many discipline , mechanical electrical . offer significant potential benefit enhance communication , specification precision , integration , reuse improve quality productivity reduce risk . emphasis producing controlling coherent specify ."
Model Based Systems Engineering in Modular Design – A Potential Analysis using Portal Type Scraper Reclaimers as an Example,"Many industries have to react progressively to the increasing customer requirements regarding the individualization of products. As a consequence, companies are using more and more standardization methods, such as modular, platform or type series design. This leads to an increased complexity of product development processes and thus to the necessity of concepts which allow a consistent representation of constructions kits. Model Based Systems Engineering (MBSE) can support the development of such systems. A case study carried out in cooperation with thyssenkrupp Industrial Solutions shows the potential of the approach using the industrial sector, the machinery and plant engineering industry as an example.",2016,"many industry react progressively increasing customer regarding individualization . consequence , company standardization , modular , platform type series . lead increased thus necessity concept allow consistent representation construction kit . ( ) support . case study carried cooperation thyssenkrupp industrial solution show potential industrial sector , machinery plant industry ."
Managing the use of simulation in systems engineering: An industrial state of practice and a prioritization method,"Model-based systems engineering (MBSE) has been proposed as an approach to manage the complexity of modern product development through the continuous use of models. The use of model simulation is a core principle of the MBSE approach. In the early stages of projects, it for example supports defining the expected system features, when in the later phases it can be used to estimate the dynamic behavior. Simulation is pushed to obtain results earlier and cheaper than with testing and prototyping. However, the development of simulation can be a very tedious and expensive task. Simulation opportunities are numerous, but the project managers must identify the more relevant for their project. This paper aims at documenting the current state of practice on the usage of simulation in MBSE processes. Then it aims at exploring decision support opportunities for simulation use in MBSE projects. The paper presents a survey conducted amongst French companies, on how they apply MBSE, Verification Validation & Testing (VVT), and simulation. The perceived benefits, barriers, and the parameters influencing VVT strategies, and the use of simulation are alternately analyzed. The results of the survey are used to propose a Prioritization of Simulation Efforts Methodology (PSEM) to assists managers in choosing the right functions, or systems’ elements to be simulated.",2021,"model-based ( ) proposed manage modern continuous . core principle . early stage , support defining expected feature , later phase estimate dynamic behavior . pushed obtain result earlier cheaper testing prototyping . , tedious expensive task . opportunity numerous , manager must identify relevant . aim documenting current state practice usage . aim exploring decision support opportunity . present survey conducted amongst french company , apply , verification validation & testing ( vvt ) , . perceived benefit , barrier , parameter influencing vvt strategy , alternately analyzed . result survey propose prioritization effort methodology ( psem ) assist manager choosing right function , ’ element simulated ."
Integration of model based system engineering into the digital twin concept,"For some years now, digitalization has made its way into all phases of the product life cycle. With the help of the modeling language SysML, Model-Based Systems Engineering (MBSE) represents a modern approach in product development. At the same time, the technologies of Industrie 4.0 and digital twin are opening up a new level of efficiency to producing companies. But entertainment technology is also finding its way into business: Virtual Reality (VR) provides an immersive and cost-effective way to perceive products in the early stages of product development. In order to provide these with quickly available data for display and simulation, it is worthwhile to expand the MBSE approach. This work describes how a product model can be extended by a simulative function structure. On the one hand, this work describes how the Cameo System Modeler can be used to extend a product model with a simulative functional structure. On the other hand, it explains how to extend an existing product model by modeling the information required to efficiently and consistently translate an Engineering Bill of Materials (EBOM) into a Manufacturing Bill of Materials (MBOM).",2021,"year , digitalization made way phase life cycle . help , model-based ( ) represents modern . time , technology industrie . digital twin opening new level efficiency producing company . entertainment technology finding way business : virtual reality ( vr ) provides immersive cost-effective way perceive early stage . order provide quickly available data display , worthwhile expand . work describes extended simulative function structure . one hand , work describes cameo modeler extend simulative functional structure . hand , explains extend existing required efficiently consistently translate bill material ( ebom ) manufacturing bill material ( mbom ) ."
State-of- practice survey in industry on the deployment of simulation in systems engineering,"Model-based systems engineering (MBSE) has been proposed as an approach to manage the complexity of modern product development through the continuous use of models. The use of model simulation is a core principle of the MBSE approach. In the first stages of projects, it supports defining the expected system features, when in the later stages it estimates the dynamic behavior. Simulation is pushed to obtain results earlier and cheaper than with testing and prototyping. However, the development of simulation can be a very tedious and expensive task. The use of simulation is a specific part of an MBSE approach that is crucial in an efficient project management since it might be the source of high cost and skills needs but also a source of precious knowledge on the future system. Simulation opportunities are numerous, but the project manager must identify the more relevant for their project. This paper aims at documenting the current state of practice in industry on the usage of simulation in MBSE processes. The paper presents a survey conducted amongst French companies, on how they apply MBSE, Verification Validation & Testing VVT, and simulation. The perceived benefits and barriers, and the parameters influencing VVT strategies and the use of simulation are alternately analyzed.",2021,"model-based ( ) proposed manage modern continuous . core principle . first stage , support defining expected feature , later stage estimate dynamic behavior . pushed obtain result earlier cheaper testing prototyping . , tedious expensive task . specific part crucial efficient management since might source high cost skill need source precious knowledge future . opportunity numerous , manager must identify relevant . aim documenting current state practice industry usage . present survey conducted amongst french company , apply , verification validation & testing vvt , . perceived benefit barrier , parameter influencing vvt strategy alternately analyzed ."
Model-based system engineering supporting production scheduling based on satisfiability modulo theory,"Production scheduling enables a production system to allocate resources for the efficient and low-cost production. However, pure mathematical methods are typically utilized for production scheduling, which are not understandable and practical for different domain engineers. Moreover, heterogeneous information during production scheduling may result in communication ambiguity or an information delay. Furthermore, the interaction and reuse of production data is limited, owing to the lack of a unified expression of the production information. To overcome these challenges, a model-based systems engineering (MBSE) approach based on the satisfiability modulo theory (SMT) is proposed to support production scheduling. A multiple architectural view modeling language, KARMA, is used as the basis to construct production scheduling elements and formalize the production scheduling processes using architecture models. Such graphical models are used to improve the understanding and communication among engineers in different domains. Then, property verification based on the MBSE and SMT is applied to solve the model constraints and select optimal schemes for the production scheduling. A case study of a package production line is proposed to evaluate our approach. Its scheduling goal is to maintain high production efficiency, decrease the working time and the cost of workers when increasing working distances during the COVID-19 pandemic. From the case study, we observed that KARMA language enables a description of modeling production scheduling and the optimization of scheduling schemes in a unified manner. Using the SMT solver, the constraints on scheduling corresponding to the sudden decrease in workers are evaluated to exclude inappropriate schemes and generate the optimal one.",2022,"production scheduling enables production allocate resource efficient low-cost production . , pure mathematical typically utilized production scheduling , understandable practical different domain engineer . moreover , heterogeneous production scheduling may result communication ambiguity delay . furthermore , interaction reuse production data limited , owing lack unified expression production . overcome challenge , model-based ( ) satisfiability modulo theory ( smt ) proposed support production scheduling . multiple architectural view , karma , basis construct production scheduling element formalize production scheduling . graphical improve understanding communication among engineer different domain . , property verification smt applied solve constraint select optimal scheme production scheduling . case study package production line proposed evaluate . scheduling goal maintain high production efficiency , decrease working time cost worker increasing working distance covid- pandemic . case study , observed karma enables description production scheduling optimization scheduling scheme unified manner . smt solver , constraint scheduling corresponding sudden decrease worker evaluated exclude inappropriate scheme generate optimal one ."
A Survey of Model-Based System Engineering Methods to Analyse Complex Supply Chains: A Case Study in Semiconductor Supply Chain,"Model-Based System Engineering (MBSE) is an increasingly important methodology to support system engineering and has attained a high level of attentiveness in business simulation practices as a conceptual modelling approach. In this paper, we present our results related to the application of MBSE approaches in complex semiconductor manufacturing supply chain planning systems. We investigate System Modeling Language (SysML), Web Ontology Language (OWL) and Business Process Modeling Notation (BPMN) as different approaches and languages for MBSE. These approaches are surveyed and used to develop conceptual models for the simulation of the order management process inside the supply chain management. This study aims to survey and offer a number of implications for MBSE practice and seeks to stimulate and guide further research in this area.",2019,"model-based ( ) increasingly important methodology support attained high level attentiveness business practice conceptual modelling . , present result related application semiconductor manufacturing supply chain planning . investigate ( ) , web ontology ( owl ) business notation ( bpmn ) different . surveyed develop conceptual order management inside supply chain management . study aim survey offer number implication practice seek stimulate guide research area ."
Requirements for High Level Models Supporting Design Space Exploration in Model-based Systems Engineering,"Most formal models are used in detailed design and focus on a single domain. Few effective approaches exist that can effectively tie these lower level models to a high level system model during design space exploration. This complicates the validation of high level system requirements during detailed design. In this paper, we define requirements for a high level model that is firstly driven by key systems engineering challenges present in industry and secondly connects to several formal and domain specific models used in model-based design. We analysed part of the systems engineering process at a company developing complex systems, by observing the design process and by analysing design documentation and development databases. By generalizing these observations, we identified several high level systems engineering challenges. They are compared to literature, focusing on reported systems engineering challenges and on existing approaches that incorporate high level models in model-based systems engineering. Finally, we argue that high level system models supporting design space exploration should be able to communicate information regarding design trade-offs (e.g. safety versus ease of use) effectively in a multidisciplinary setting. In our outlook, we propose how to continue our research, by recommending further research and defining a research question.",2013,"formal detailed focus single domain . effective exist effectively tie lower level high level space exploration . complicates validation high level detailed . , define high level firstly driven key challenge present industry secondly connects several formal domain specific model-based . analysed part company developing , observing analysing documentation database . generalizing observation , identified several high level challenge . compared literature , focusing reported challenge existing incorporate high level model-based . finally , argue high level supporting space exploration able communicate regarding trade-off ( e.g . safety versus ease ) effectively multidisciplinary setting . outlook , propose continue research , recommending research defining research question ."
Implementation of Human System Integration (HSI) and ‘Non-functional Characteristics’ into the Systems Engineering Lifecycle - A Practical Approach at Airbus Defence and Space,"This paper provides an overview of the process, practices, developments and synergies that Airbus Defence and Space are implementing Human System Integration (HSI) into the Continuous Engineering /Model Based System Engineering (MBSE) throughout the company. The paper highlights these developments, which include internal research programmes, European Union funded research projects, Airbus internal Synergy project. This research includes an EU funded 3 year project HoliDes - Holistic Human Factors and System Design of Adaptive Cooperative Human Machine Systems. Continuous engineering within Airbus has included various corporate and divisional Synergy programs and lean and agile initiatives. As our business is defined by Multiple Portfolio products, supplied from multi countries, the MBSE process had to speed up delivery and reduce overall cost. The Airbus process models needed significant amendment due to products supplied via multiple business lines throughout the company. This problem is exacerbated by varying requirements of four national defence requirements, who impose restrictions on the use of Architectural Frameworks (NAF/MODAF/DODAF) and supporting tools. Our Human System Integration (HSI) is continuing from the initial Human View Architectural Framework research to include the nine HSI domains. These nine domains overlap with our current Human factors research and will now allow us to pull in our Non-functional work into our Systems Engineering lifecycle. This paper highlights the research projects Airbus Space and Defence are incorporating in to our overall strategy, these include internal R&D funding and European Union funded research programs. These research projects have highlighted several areas of interest these include, stochastic modelling with respect to Human System Integration and Human views, verification and analysis of emergent behaviour and non-functional properties, which conforms with our own work on non-functional requirements and finally the use of System of System Formal Methods for parts of the lifecycle.",2015,"provides overview , practice , synergy airbus defence space implementing human integration ( hsi ) continuous /model ( ) throughout company . highlight , include internal research programme , european union funded research , airbus internal synergy . research includes eu funded year holides - holistic human factor adaptive cooperative human machine . continuous airbus included various corporate divisional synergy program lean agile initiative . business defined multiple portfolio , supplied multi country , speed delivery reduce overall cost . airbus needed significant amendment due supplied via multiple business line throughout company . problem exacerbated varying four national defence , impose restriction architectural ( naf/modaf/dodaf ) supporting . human integration ( hsi ) continuing initial human view architectural research include nine hsi domain . nine domain overlap current human factor research allow u pull non-functional work lifecycle . highlight research airbus space defence incorporating overall strategy , include internal r & funding european union funded research program . research highlighted several area interest include , stochastic modelling respect human integration human view , verification emergent behaviour non-functional property , conforms work non-functional finally formal part lifecycle ."
Chapter 2 - Model-Based Systems Engineering,"Chapter 2 summarizes model-based systems engineering (MBSE) concepts to provide further context for SysML without emphasizing a specific modeling language, method, or tool. MBSE is contrasted with the more traditional document-based approach to motivate the use of MBSE and highlight its benefits. Principles for effective modeling are also discussed including a discussion on model-based metrics.",2015,"chapter summarizes model-based ( ) concept provide context without emphasizing specific , , . contrasted traditional document-based motivate highlight benefit . principle effective discussed including discussion model-based metric ."
Model-Based System Integration (MBSI) – Key Attributes of MBSE from the System Integrator's Perspective,"Many system developments fail at the integration and qualification (I&Q) phases in the development and acquisition cycle. How can we, as Systems Engineers (SE), navigate the uncertainty and risk of system development to ensure I&Q success? One solution is applying significant influence of the system integrator (SI) member of the SE team at the very beginning of system design. If this is a solution, then what processes, methods, and practices can the SI apply in the overall SE process? Can the emerging Model-Based Systems Engineering (MBSE) methods and tools be leveraged by the SI? This paper discusses a Model Based System Integration (MBSI) approach that applies essential MBSE methods and tools to the unique goals of the SI. While MBSE is supportive of the entire SE process, it tends to be optimized for the design-side of the SE process and not necessarily for I&Q goals and objectives. MBSI highlights how MBSE tools and methods can be extended to benefit the SI. Lessons- learned from several SE graduate school projects applying these MBSI methods are provided to demonstrate the efficacy of the MBSI approach.",2013,"many fail integration qualification ( & q ) phase acquisition cycle . , engineer ( se ) , navigate uncertainty risk ensure & q success ? one solution applying significant influence integrator ( si ) member se team beginning . solution , , , practice si apply overall se ? emerging model-based ( ) leveraged si ? discus integration ( mbsi ) applies essential unique goal si . supportive entire se , tends optimized design-side se necessarily & q goal objective . mbsi highlight extended benefit si . lessons- learned several se graduate school applying mbsi provided demonstrate efficacy mbsi ."
Chapter 1 - What Is Model-Based Systems Engineering?,"This chapter provides a short overview of systems engineering approaches, activities, and goals and how model-based systems engineering (MBSE) can help achieve them. The chapter makes the distinction between systems and discipline-specific engineering disciplines and then identifies and describes the primary systems engineering activities and their resulting engineering data. Following this, the three primary workflow models (V-Model, Incremental Model, and Hybrid V-Model) are discussed as means for sequencing the system engineering activities. With that basic understanding in place, the chapter proceeds with the advantages of MBSE over traditional document-centric approaches—such as supporting deeper reasoning about system properties and providing a single source of engineering truth. A short discussion of how to move from traditional methods to MBSE is supplied in the section on “Adopting MBSE.” The chapter winds up with “The Rules of Modeling” to provide a set of guidelines for new practitioners.",2016,"chapter provides short overview , activity , goal model-based ( ) help achieve . chapter make distinction discipline-specific discipline identifies describes primary activity resulting data . following , three primary workflow ( v-model , incremental , hybrid v-model ) discussed mean sequencing activity . basic understanding place , chapter proceeds advantage traditional document-centric approaches—such supporting deeper reasoning property providing single source truth . short discussion move traditional supplied section “ adopting mbse. ” chapter wind “ rule ” provide set guideline new practitioner ."
Managing knowledge and parameter dependencies with MBSE in textile product development processes,"Today’s mechanical engineering companies are confronted with challenges like new material technologies, shorter product life cycles, increasing interdisciplinarity of the various departments as well as product development across distributed company locations. In the context of lightweight design, Tailored Textiles offer promising potentials to reduce product weight and manufacturing costs. Tailored Textiles are textiles with integrated local reinforcements whose textile properties can be adapted locally during the production due to the textile structures, so that process steps and therefore time and costs can be reduced. However, the production-oriented design of Tailored Textiles is currently very complex. One reason for this is the large number of stakeholders that are involved in the process. In order to make this complexity manageable, it is necessary to develop a common understanding of the textile process chain and to improve communication between different stakeholders. Another major challenge is the identification and management of technical parameter dependencies over the entire product development process (PDP). The aim pursued by this work is to link the technical parameter level of different expert models with the process level of Tailored Textiles PDP, so that expert knowledge is externalized to other stakeholders In this context, Model-Based Systems Engineering (MBSE) is a promising approach. Through the formalized application of modeling, MBSE allows the process accompanying development of a system model, which enables the visualization of the parameter dependencies within the product development process. In this paper, a methodological approach is presented which initially involves modeling the PDP for Tailored Textiles in a product data management system (PDMS). The process is then linked to a MBSE modeling tool. In the modeling tool, the analyzed parameters and their dependencies are set up and visualized. Following this procedure, the feasibility of the design will be evaluated based on a use case.",2020,"today ’ mechanical company confronted challenge like new material technology , shorter life cycle , increasing interdisciplinarity various department across distributed company location . context lightweight , tailored textile offer promising potential reduce weight manufacturing cost . tailored textile textile integrated local reinforcement whose textile property adapted locally production due textile structure , step therefore time cost reduced . , production-oriented tailored textile currently . one reason large number stakeholder involved . order make manageable , necessary develop common understanding textile chain improve communication different stakeholder . another major challenge identification management technical parameter dependency entire ( pdp ) . aim pursued work link technical parameter level different expert level tailored textile pdp , expert knowledge externalized stakeholder context , model-based ( ) promising . formalized application , allows accompanying , enables visualization parameter dependency . , methodological presented initially involves pdp tailored textile data management ( pdms ) . linked . , analyzed parameter dependency set visualized . following procedure , feasibility evaluated case ."
