"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Using MBSE for Operational Analysis of Power Converter for Electric Traction","N. Guennouni; N. Machkour; A. Chebak","Green Technology Institute, Mohammed VI Polytechnic University, Benguerir, Morocco; Green Technology Institute, Mohammed VI Polytechnic University, Benguerir, Morocco; Green Technology Institute, Mohammed VI Polytechnic University, Benguerir, Morocco","2021 17th Conference on Electrical Machines, Drives and Power Systems (ELMA)","6 Aug 2021","2021","","","1","6","Electric vehicles are a more environment friendly technology than internal combustion engine vehicles. However, EVs are still less mature technology compared to ICE vehicles (higher cost, lower power density, lower range rating, and longer charging time, connection to the grid⋯). In order to commercialize more EVs in the near future to make another step for replacing ICE vehicles, many researches have been conducted. The main three fields of interest are: electric motors, energy storage, and power electronics. EVs are considered as complex systems and need to be addressed with modern methodologies and approaches. This paper presents a first step towards designing a power converter for electric traction system with onboard energy storage system (ESS), using model-based systems engineering (MBSE) and systems modelling language (SysML), by adapting CESAM Systems Architecting Method as framework. Using this approach an operational point of view architecture of the power converter is presented in this paper.","","978-1-6654-3582-6","10.1109/ELMA52514.2021.9503028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9503028","MBSE;EV;power converter;SysML","Adaptation models;Power system measurements;Traction power supplies;Systems Modeling Language;Power electronics;Stakeholders;Modeling","air pollution control;electric motors;electric vehicle charging;energy storage;internal combustion engines;power convertors;power electronics;power engineering computing;SysML;systems engineering;traction","MBSE;operational analysis;power converter;electric vehicles;environment friendly technology;internal combustion engine vehicles;low power density;ICE vehicles;electric motors;power electronics;complex systems;electric traction system;onboard energy storage system;systems modelling language;low range rating;EVs;ESS;model-based systems engineering;SysML;CESAM systems architecting method","","4","","15","IEEE","6 Aug 2021","","","IEEE","IEEE Conferences"
"Obtaining Fault Trees Through SysML Diagrams: A MBSE Approach for Reliability Analysis","A. H. d. A. Melani; G. F. M. d. Souza",University of São Paulo; University of São Paulo,"2020 Annual Reliability and Maintainability Symposium (RAMS)","31 Jul 2020","2020","","","1","5","Reliability analysis provides fundamental results for the decision-making process regarding systems design, operation, and maintenance plans, but the growing complexity of systems has motivated the search for automated methods of reliability analysis. Although Fault Tree Analysis (FTA) is an effective and highly utilized technique for reliability analysis, it is very labor intensive and can become very complex to apply, to the point of needing automation. The goal of this paper is to develop a method of automated reliability analysis based on FTA, which fault trees are obtained by mapping SysML (System Modelling Language) diagrams in a novel structured procedure. SysML is a modeling language used in MBSE (Model-based Systems Engineering) to gather all the information about a system in a consistent and complete way, which is why it is used in this paper to develop the fault trees. The method is applied to a bearing lubrication system of a hydrogenerator and the obtained fault tree is presented.","2577-0993","978-1-7281-3690-5","10.1109/RAMS48030.2020.9153658","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9153658","Fault trees;FTA;Reliability Analysis;SysML;MBSE","Fault trees;Unified modeling language;Reliability engineering;Modeling;Lubrication;Safety","decision making;fault trees;hydroelectric generators;lubrication;machine bearings;power engineering computing;power generation reliability;systems engineering","systems design;fault tree analysis;automated reliability analysis;system modelling language;model-based systems engineering;SysML diagram mapping;MBSE approach;decision-making process;maintenance plans;information gathering;hydrogenerator bearing lubrication system","","3","","18","IEEE","31 Jul 2020","","","IEEE","IEEE Conferences"
"Application of MBSE as a support to the definition of the port informer service in the Italian ports","L. Tirone; S. Sorge; G. Traballesi","Aster S.p.A., Rome, Italy; Aster S.p.A., Rome, Italy; Aster S.p.A., Rome, Italy","2012 12th International Conference on ITS Telecommunications","31 Jan 2013","2012","","","466","470","This paper describes an application of the Model Based Systems Engineering (MBSE) approach in a study performed on behalf of the Italian Port Informers Association, with the purpose to provide a solid technical background to the definition of the Port Informer Service (also referred in this paper simply as Service), and to its future evolution. The current Italian legislation does not include such Service neither among the “public utility services” ruled by the Maritime Authority (Coast Guard), nor among the “general interest services” ruled by the Port Authority. The lack of a clear definition of the Service is the source of an uncertain situation, in which the activities of the Port Informers derive from local ordinances issued by the single Harbor Master's Offices (Capitanerie di Porto, local office of the Coast Guard). From a different point of view, the continuous evolution in the technological equipment of the authorities involved in port operations, with systems such as Vessel Traffic Services (VTS), Automatic Identification System (AIS), Port Management and Information System (PMIS) and so on, urges the Port Informers to share a common process of migration, in order to be fully integrated in the exploitation of the opportunities made available by the new technologies. A strong need was thus felt for a new regulation of the services provided by the Port Informers at national level, in order to promote a necessary uniformity in the provision of the Service, and to better support the management of port security, maritime traffic monitoring and navigation security.","","978-1-4673-3070-1","10.1109/ITST.2012.6425222","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6425222","e-Navigation;e-Maritime;MBSE;information management","Ports (Computers);Marine vehicles;Navigation;Monitoring;Radar;Unified modeling language;Legislation","information services;legislation;marine communication;navigation;organisational aspects;sea ports;ships","MBSE application;model-based systems engineering approach;Italian Port Informers Association;solid technical background;port informer service;Italian legislation;public utility services;maritime authority;general interest services;port authority;uncertain situation;harbor master offices;technological equipment;port operations;services regulation;national level;port security management;maritime traffic monitoring;navigation security","","","","8","IEEE","31 Jan 2013","","","IEEE","IEEE Conferences"
"The Design of Integrated Navigation System Based on MBSE","L. Yang; N. Cheng; Q. Li","Department of Automation, Tsinghua University, Beijing, China; Department of Automation, Tsinghua University, Beijing, China; Department of Automation, Tsinghua University, Beijing, China","2018 IEEE CSAA Guidance, Navigation and Control Conference (CGNCC)","2 Mar 2020","2018","","","1","5","This paper proposes a schema for the design of an integrated navigation system including two inertial navigators, two Global Position System (GPS) receivers and a Doppler velocity sensor(DVS) with applications of Model Based Systems Engineering (MBSE). First, requirement analysis and function analysis are accomplished with Rhapsody. Then the architecture of the system is designed to identify the subsystems and allocate the use case to the subsystems. Finally, the results of simulation show that the design of the system can satisfy the system requirements proposed previously.","","978-1-5386-1171-5","10.1109/GNCC42960.2018.9018855","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9018855","Integrated Navigation System;MBSE","Aircraft navigation;Sensor systems;Atmospheric modeling;Global Positioning System","Global Positioning System;inertial navigation;systems engineering","integrated navigation system;MBSE;inertial navigators;Global Position System receivers;model based systems engineering;requirement analysis;function analysis;system requirements","","","","8","IEEE","2 Mar 2020","","","IEEE","IEEE Conferences"
"Model-Based Systems Engineering of Process Control for Energy Installations","V. Khokhlovskiy; V. Oleinikov","Higher School of Cyber-Physical Systems and Control, Peter the Great Saint-Petersburg Polytechnic University, Saint-Petersburg, Russia; Higher School of Cyber-Physical Systems and Control, Peter the Great Saint-Petersburg Polytechnic University, Saint-Petersburg, Russia","2019 International Multi-Conference on Industrial Engineering and Modern Technologies (FarEastCon)","19 Dec 2019","2019","","","1","5","Design of process automation control for energy installations is considered as MBSE, i.e. the basic means of UML are used to describe main functionality, structure and behavior of a target system. The rules of IEC 61131-3 international standard are used for implementation of the control. UML component diagrams of the control system are mapped into configuration of PAC. The behavior is refined by conversion of UML activity diagrams into SFC programming language. A control system for hydro power unit is described to demonstrate the approach.","","978-1-7281-0061-6","10.1109/FarEastCon.2019.8934790","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8934790","unified modeling language UML;IEC 61131-3;configuration of process automation controller PAC;sequential functional charts SFC;energy installations;hydro power unit;process control","Unified modeling language;Control systems;Process control;Automation;Picture archiving and communication systems;Modeling;Standards","control engineering computing;hydroelectric power stations;IEC standards;power system control;process control;programming languages;systems engineering;Unified Modeling Language","model-based systems engineering;process control;energy installations;process automation control;target system;IEC 61131-3 international standard;UML component diagrams;UML activity diagrams;SFC programming language;hydro power unit","","2","","12","IEEE","19 Dec 2019","","","IEEE","IEEE Conferences"
"A Model-Based Approach for Requirements Engineering for Systems of Systems","J. Holt; S. Perry; R. Payne; J. Bryans; S. Hallerstede; F. O. Hansen","Atego Systems, Cheltenham, U.K.; Atego Systems, Cheltenham, U.K.; Centre for Software Reliability, Newcastle University, Newcastle upon Tyne, U.K.; Centre for Software Reliability, Newcastle University, Newcastle upon Tyne, U.K.; School of Engineering, Aarhus University, Aarhus, Denmark; School of Engineering, Aarhus University, Aarhus, Denmark","IEEE Systems Journal","3 Mar 2015","2015","9","1","252","262","Model-based systems engineering (MBSE) is a discipline of systems engineering in which the model forms the heart of all the systems engineering activities and is the basis of many of the project artefacts. Systems modeling is no longer viewed as simply a “good idea” but is becoming an increasingly important part of any systems engineering project. The application of MBSE is becoming well understood at the systems level; however, there is a lack of research and subsequent industrial application at the system of systems (SoS) level. This paper presents a model-based approach to requirements engineering for SoSs. The approach is derived from an MBSE approach to requirements engineering and therefore represents current best practice in SoSs in terms of established standards and research. This paper builds upon and is an evolution of the initial foundations for model-based requirements engineering for systems of systems that were published in an earlier paper.","1937-9234","","10.1109/JSYST.2014.2312051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6805167","Model-based systems engineering (MBSE);requirements engineering;systems modeling;systems of systems (SoSs)","Ontologies;Context;Modeling;Best practices;Industries;Heart","ontologies (artificial intelligence);systems analysis","model-based approach;model-based systems engineering;system-of-systems;systems engineering;MBSE approach;model-based requirements engineering","","35","","23","IEEE","24 Apr 2014","","","IEEE","IEEE Journals"
"Role of SysML in Integrating an Interdisciplinary Team","K. Golemi; A. Akhter; S. V. Bhada","Electrical and Computer Engineering, Worcester Polytechnic Instituite, Worcester, USA; Robotics Engineering, Worcester Polytechnic Instituite, Worcester, USA; Electrical and Computer Engineering, Worcester Polytechnic Instituite, Worcester, USA","2022 IEEE MIT Undergraduate Research Technology Conference (URTC)","2 Jan 2023","2022","","","1","4","Most engineering projects require a team of various disciplines to work together. Although with different disciples there can be issues in communication between disciplines due to jargon and a lack of understanding each role’s capabilities. [1] This is especially true during the early stages of the project. Systems engineers have used SysML as a model-based systems engineering tool to compose and articulate tasks as well as display the collaboration of each discipline towards a goal unifying communication and setting a clearly defined purpose. This paper shows how SysML and UML is used in organizing and articulating the tasks of an interdisciplinary research team, consisting of: robotics, communication, and system engineers toward the goal of fire detection.","","978-1-6654-7345-3","10.1109/URTC56832.2022.10002249","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10002249","SysML;interdisciplinary;systems engineering;model-based systems engineering (MBSE)","Fault diagnosis;Vocabulary;Unified modeling language;Documentation;Maintenance engineering;Software;Hazards","systems engineering;Unified Modeling Language","clearly defined purpose;engineering projects;fire detection;goal unifying communication;interdisciplinary research team;interdisciplinary team;jargon;model-based systems engineering tool;SysML;systems engineers;UML","","","","5","IEEE","2 Jan 2023","","","IEEE","IEEE Conferences"
"Model-Based Systems Engineering Applied to the Detection and Correction of Object Slippage within a Dexterous Robotic Hand","C. A. Meehan; J. S. Baras","Department of Mechanical Engineering, University of Maryland, College Park, USA; Department of Electrical and Computer Engineering, Institute for Systems Research, University of Maryland, College Park, USA","2021 IEEE International Systems Conference (SysCon)","9 Jun 2021","2021","","","1","13","Slip detection and correction plays a very important role in robotic manipulation tasks, and it has long been a challenging problem in the robotic community. Further, the advantage of using systems engineering tools and framework to approach a solution and/or modeling of robotic tasks is not often pursued. In this paper, we use Model-Based Systems Engineering techniques to verify system requirements and validate stakeholder requirements for the problem of detecting and correcting for object slippage within a dexterous five-fingered robotic hand. We will discuss how the work accomplished in our laboratory was transferred to a simulated environment and how this simulated environment built in CoppeliaSim was connected to a systems engineering software, Cameo Systems Modeler. Measures of effectiveness were created from the stakeholder requirements for the slippage problem which allowed us to validate the robotic simulation that was built. Structural diagrams of the robotic system and environment were built along with behavioral diagrams of the simulation. Further, we used the connection of Cameo Systems Modeler and CoppeliaSim to track the measures of effectiveness for our robotic task which provided us with a complete systems engineering framework for the problem from the requirements phase through the implementation phase. Our main goal is to show the advantages of following a systems engineering framework to complete a robotic task through the connection of Cameo Systems Modeler and CoppeliaSim.","2472-9647","978-1-6654-4439-2","10.1109/SysCon48628.2021.9447100","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9447100","MBSE;Robotics","Phase measurement;Laboratories;Tools;Stakeholders;Software measurement;Modeling;Task analysis","control engineering computing;dexterous manipulators;grippers;manipulator dynamics;slip","robotic simulation;robotic system;Cameo Systems Modeler;robotic task;systems engineering framework;object slippage;dexterous robotic hand;robotic manipulation tasks;robotic community;systems engineering tools;model-based systems engineering techniques;system requirements;stakeholder requirements;systems engineering software;slippage problem;CoppeliaSim","","","","12","IEEE","9 Jun 2021","","","IEEE","IEEE Conferences"
"A bi-directional Interface enabling cross-disciplinary Engineering with RAMI 4.0 and AutomationML","C. Binder; C. Neureiter; A. Lüder","Josef Ressel Center for Dependable, System-of-Systems Engineering, Puch/Salzburg, Austria; Josef Ressel Center for Dependable, System-of-Systems Engineering, Puch/Salzburg, Austria; Otto-v.-Guericke University, Magdeburg, Germany","2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA)","25 Oct 2022","2022","","","1","4","The Reference Architecture Model Industrie 4.0 (RAMI 4.0) has been proposed to faciliate the discussion and contribute to the standardization of future industrial systems, especially in the area of basic engineering. In order to provide the resulting system model to the heterogeneous detailed engineering disciplines, AutomationML appears to be one of the technology drivers, giving the possibility to exchange respective engineering artifacts. Concluding, the utilization of this standard after applying the theoretical engineering concepts of RAMI 4.0 would strongly enhance the interoperability between industrial systems aligned to the reference architecture on the one hand and provide a practical implementation of its theoretical concepts on the other hand. Therefore, this work-in-progress Paper introduces the first implementation of a bi-directional interface, which interconnects basic engineering with detailed engineering of such systems. As model-based systems engineering (MBSE) with either RAMI 4.0 or AutomationML is currently under broad investigation, already established approaches are used to verify the application of the developed interface. An initial real-world example is taken for use to validate the research goals or challenges of the resulting engineering tool-chain, which can strongly contribute to engineering practitioners of flexible production systems by maxing out the heterogeneous tool-landscape.","","978-1-6654-9996-5","10.1109/ETFA52439.2022.9921566","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9921566","Reference Architecture Model Industrie 4.0 (RAMI 4.0);Model-based Systems Engineering (MBSE);Industrial Internet of Things (IIoT);AutomationML;Model Transformation","Industries;Production systems;Bidirectional control;Internet of Things;Modeling;Standards;Manufacturing automation","control engineering computing;manufacturing systems;open systems;production engineering computing;software architecture;systems engineering","bi-directional Interface enabling cross-disciplinary Engineering;RAMI 4.0;AutomationML;Reference Architecture Model Industrie 4.0;future industrial systems;basic engineering;resulting system model;heterogeneous detailed engineering disciplines;respective engineering artifacts;theoretical engineering concepts;model-based systems engineering;resulting engineering tool-chain;engineering practitioners","","","","15","IEEE","25 Oct 2022","","","IEEE","IEEE Conferences"
"Using model based systems engineering to increase the robustness of monitoring systems in railways","M. Blumenfeld; E. J. C. Stewart; E. Larios","Birmingham Centre for Railway Research and Education United Kingdom; Birmingham Centre for Railway Research and Education United Kingdom; Embed Limited, Coventry, United Kingdom","7th IET Conference on Railway Condition Monitoring 2016 (RCM 2016)","8 May 2017","2016","","","1","6","Model based systems engineering (MBSE) has gained popularity in disciplines such as computer science and aerospace engineering as a tool to better manage the increasing complexity of human made systems. In contrast to the traditional document-centric paradigm, MBSE applies modelling techniques to support all stages of system development such as design, verification and validation. One of the key advantages of a model-centric approach is the traceability between models in all levels of abstraction, which significantly enhances the adaptability of the system within its life-cycle. In this paper, we apply the MBSE approach to the development of monitoring units in railways, drawing inspiration from primary node controllers found in the automotive industry. The system in question is based on a distributed network of embedded processing units using an automotive architecture and communications backbone. To do so, we consider case studies that focus on: passenger comfort-matching environmental controls to occupancy; operational efficiency — correlating over occupancy to dwell times, for example; and reporting / investigation — identification and logging of signal aspects the vehicle passes to reduce investigation times for SPADs. As a result, we contend that the use of model based systems engineering can provide an extra level of verification that considerably increases the robustness of monitoring systems and efficiency in their development.","","978-1-78561-345-6","10.1049/cp.2016.1199","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7920673","","","condition monitoring;railway engineering","railway monitoring system robustness;model-based system engineering;model-centric approach;MBSE approach;primary node controller;automotive industry;distributed network;embedded processing unit;automotive architecture;communication backbone;passenger comfort","","1","","","","8 May 2017","","","IET","IET Conferences"
"A Model-Based Systems Engineering Journey to Developing a Concept of Operations (ConOps)","J. Cohen; M. S. Kaetzer; S. Lumpkins; D. Rubin; K. McGuire","KBR, Houston, TX; Leidos, Inc., Webster, TX; MEI Technologies, Houston, TX; KBR, Houston, TX; NASA Johnson Space Center, Houston, TX","2022 IEEE Aerospace Conference (AERO)","10 Aug 2022","2022","","","1","14","In 2017, NASA's Human Research Program (HRP) Exploration Medical Capability (ExMC) Element began a transition from a traditional document-centric to a model-centric Systems Engineering approach when defining its foundation medical systems. These foundation medical systems define Concepts of Operations (ConOps) and identify generic requirements for medical systems based on generic crew and mission environment assumptions and guidance from NASA standards (e.g., medical “Levels of Care”). By making the transition, ExMC intends to improve communication with stakeholders regarding foundation medical system requirements and content. This, in turn, will translate into user-centric medical system development for mission-specific medical systems and result in more robust systems that will lead to better communication with stakeholders to identify gaps in diagnostic and treatment capabilities, thereby lowering crew treatment risks. ExMC's Model-based Systems Engineering (MBSE) paradigm facilitates stakeholder's understanding of the system, more frequent updates of project content, and a centralized “source of truth” for the project. For this current foundation medical system development effort, ExMC has expanded its use of MBSE to include all ConOps content within the model. Previously, the ConOps content primarily resided within a published document, with only select content being incorporated into the model. This effort required structural and organizational workflow changes, including showing stakeholders how the information they require would be presented in the model and gaining their acceptance of this approach. This paper documents key lessons learned during the transformation of the Medical System ConOps from a document- to model-centric system, focusing on how the resultant model represents information, the agile workflows used by Systems Engineers when developing the model, how the model integrates into project plans, how ExMC leadership influenced key users to accept the proposed transformation, and, finally, how the users interact with the newly developed model and its available information.","1095-323X","978-1-6654-3760-8","10.1109/AERO53065.2022.9843691","NASA's Human Research Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9843691","","Leadership;NASA;Decision making;Focusing;Documentation;Stakeholders;Reliability","formal specification;health care;human resource management;medical information systems;organisational aspects;systems analysis;systems engineering;workflow management software","Model-based Systems Engineering journey;NASA's Human Research Program;traditional document-centric;model-centric Systems Engineering approach;foundation medical systems;generic crew;mission environment assumptions;medical Levels;stakeholders;foundation medical system requirements;user-centric medical system development;mission-specific medical systems;robust systems;ExMC's Model-based Systems Engineering paradigm;current foundation medical system development effort;ConOps content;Medical System ConOps;model-centric system;resultant model;Systems Engineers;newly developed model","","","","14","USGov","10 Aug 2022","","","IEEE","IEEE Conferences"
"MBSE approach to support and formalize mission alternatives generation and selection processes for hypersonic and suborbital transportation systems","R. Fusaro; D. Ferretto; N. Viola","Department of Mechanical and Aerospace Engineering (DIMEAS), Politecnico di Torino (POLITO), Turin, Italy; Department of Mechanical and Aerospace Engineering (DIMEAS), Politecnico di Torino (POLITO), Turin, Italy; Department of Mechanical and Aerospace Engineering (DIMEAS), Politecnico di Torino (POLITO), Turin, Italy","2017 IEEE International Systems Engineering Symposium (ISSE)","30 Oct 2017","2017","","","1","8","This paper deals with the application of a Model Based Systems Engineering (MBSE) approach to support and formalize mission alternatives generation and selection processes aimed at developing operative hypersonic and suborbital transportation systems. Due to the high-level of complexity of these ultimate aerospace initiatives, a MBSE approach demonstrates to be very effective to allow reduction of risk of inconsistencies, of unappropriated or incompatible design choices, reducing the overall time and effort spent in design and development phases. After a brief introductory section aimed at providing some details about these kinds of vehicles, both in terms of enabling technologies and missions, a step-by-step innovative methodology based on a MBSE approach to carry out mission analysis is proposed. All along the methodology description, the application to a specific reference case study of a suborbital single-stage vehicle aimed at performing commercial parabolic flight services is proposed. Eventually, the selected mission baseline is detailed and the major benefits and further application of this innovative integrated methodology are reported and discussed.","","978-1-5386-3403-5","10.1109/SysEng.2017.8088275","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8088275","Mission Analysis;Model Based Systems Engineering (MBSE);hypersonic;suborbital transportation system.","Stakeholders;Tools;Space vehicles;Aerospace engineering;Modeling","aerospace computing;innovation management;space vehicles;systems engineering","MBSE approach;mission alternatives generation;selection processes;suborbital transportation systems;operative hypersonic transportation systems;ultimate aerospace initiatives;development phases;step-by-step innovative methodology;mission analysis;suborbital single-stage vehicle;selected mission baseline;development phase;model based systems engineering approach","","6","","13","IEEE","30 Oct 2017","","","IEEE","IEEE Conferences"
"Using MBSE With SysML to Analyze Change Impacts, Including Efforts, in Technical Systems","C. Ellsel; G. Senkal; R. Stark","Chair of Industrial Information Technology, Technische Universität Berlin, Berlin, Germany; Software Systems and Connectivity, IAV GmbH, Berlin, Germany; Chair of Industrial Information Technology, Technische Universität Berlin, Berlin, Germany","2022 IEEE International Symposium on Systems Engineering (ISSE)","10 Jan 2023","2022","","","1","8","Technical systems are subject to increasing complexity. Together with shortened product development cycles, frequency and importance of engineering changes (ECs) are increased. Due to change propagation (CP), ECs can have multiple side effects that are hard or even impossible to evaluate manually, making software-based support necessary. To deal with the increasing complexity and interconnectedness of technical systems, model-based systems engineering (MBSE) can be used. Systems are often modeled using the Systems Modeling Language (SysML). In this paper, an analysis approach is developed that enables the modeling of system element dependencies and change efforts with SysML. This enables the application of the approach inside MBSE environments. The approach can be used to conduct change impact analyses, including efforts and with consideration of CP. The developed approach is implemented prototypically in the MBSE tool Enterprise Architect. For validation, a case study is conducted, and the results are discussed.","2687-8828","978-1-6654-8182-3","10.1109/ISSE54508.2022.10005450","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10005450","model-based systems engineering (MBSE);Systems Modeling Language (SysML);change propagation analysis (CPA);change impact analysis;engineering change management (ECM)","Analytical models;Systems Modeling Language;Product development;Complexity theory","SysML;systems engineering","ECs;MBSE environments;model-based systems engineering;software-based support;SysML;Systems Modeling Language","","","","30","IEEE","10 Jan 2023","","","IEEE","IEEE Conferences"
"Capitalization and reuse with patterns in a Model-Based Systems Engineering (MBSE) framework","Q. Wu; D. Gouyon; S. Boudau; É. Levrat","Zodiac Aero Electric, Montreuil, France; CNRS, CRAN, Université de Lorraine, Nancy, France; Zodiac Aero Electric, Montreuil, France; CNRS, CRAN, Université de Lorraine, Nancy, France","2019 International Symposium on Systems Engineering (ISSE)","6 Feb 2020","2019","","","1","8","In order to promote capitalization and reuse within a Model-Based System Engineering (MBSE) framework, this paper proposes a methodological approach that relies on the concept of pattern in order to encapsulate the know-how to be capitalized and reused. Indeed, formalizing and maintaining know-how within a company is essential in order to have a common base of ""good practices"" available to all engineering teams. To do this, it is necessary to undertake a capitalization process in order to encapsulate these practices. However, it is equally important to make this know-how available and to facilitate its reuse so that engineers can adapt it to their needs. The flexibility of patterns during reuse is an advantage that will contribute to the efficiency of MBSE and where engineering teams are able to rely on the company's know-how.","2687-8828","978-1-7281-1783-6","10.1109/ISSE46696.2019.8984571","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8984571","Systems modelling;Systems analysis and design;Systems architecture;Pattern recognition","","systems engineering","model based systems engineering;MBSE;capitalization process;reuse with patterns","","2","","29","IEEE","6 Feb 2020","","","IEEE","IEEE Conferences"
"MBSE-assisted FMEA approach — Challenges and opportunities","Z. Huang; S. Swalgen; H. Davidz; J. Murray","Aerojet Rocketdyne, Canoga Park, CA, USA; Aerojet Rocketdyne, Canoga Park, CA, USA; Aerojet Rocketdyne, West Palm Beach, FL; Aerojet Rocketdyne, Canoga Park, CA, USA","2017 Annual Reliability and Maintainability Symposium (RAMS)","30 Mar 2017","2017","","","1","8","This paper presents an “MBSE-Assisted FMEA” approach. The approach is evolutionary in nature and accommodates the current NASA and Air Force FMEA procedures and practices required for many of their contracts; therefore, it can be implemented immediately. The approach considers current MBSE philosophy, methods, and tools, introducing them gradually to evolve the current FMEA process to a model-based failure modes, causes, and effects generation process. To assist the implementation of this transitioning process from current FMEA to the Model-Based FMEA, the paper discusses challenges and opportunities/benefits that can help establish a feasible and viable near term and long term implementation plan. With the MBSE-Assisted FMEA as a near term approach and Model-Based FMEA as a longer term implementation goal, FMEA will become a more effective and cost efficient reliability process that is integrated with MBSE to support Design-for-Reliability and Model-Based Mission Assurance activities.","","978-1-5090-5284-4","10.1109/RAM.2017.7889722","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7889722","Model-Based Systems Engineering;Failure Mode and Effects Analysis;Maintainability;Safety and Mission Assurance;Model-Based Mission Assurance","Reliability engineering;Analytical models;Safety;Standards","aerospace engineering;design engineering;failure analysis;reliability;systems engineering","model-based systems engineering;failure mode and effects analysis;MBSE-assisted FMEA;contract;reliability process;design-for-reliability;model-based mission assurance activity;NASA","","7","","11","IEEE","30 Mar 2017","","","IEEE","IEEE Conferences"
"Digital Twin-enabled MBSE Testbed for Prototyping and Evaluating Aerospace Systems: Lessons Learned","A. M. Madni; D. Erwin; C. C. Madni","University of Southern California, Los Angeles, CA; University of Southern California, Los Angeles, CA; Intelligent Systems Technology, Inc., Los Angeles, CA","2021 IEEE Aerospace Conference (50100)","7 Jun 2021","2021","","","1","8","With increasing interconnectedness and complexity of aerospace systems and system-of-systems, it no longer suffices to perform experimentation and integration without an overarching framework to organize modeling, simulation, and analysis artifacts. With recent advances in Model Based Systems Engineering (MBSE), several key building blocks for such a framework are already in place. However, important challenges remain. No longer isolated MBSE tools can suffice without a flexible infrastructure to support model integration, tool interoperability, experimentation, and data collection. This recognition provides the impetus for developing a MBSE research testbed for prototyping and evaluating aerospace systems and system-of-systems. This paper presents progress made and lessons learned in the development of a MBSE research testbed for experimentation with aerospace systems such as multi-UAV swarms. Multi-UAV swarms are used in a variety of missions ranging from search and rescue and perimeter security of high value physical assets to emergency response and infrastructure inspection. These operations are characterized by adaptive coordination, ability to survive systemic malfunctions and unexpected external disruptions, ability to discern and reach safe states when attempting to cope with unknown disruptions, ability to course correct and continuously adapt in partially observable, reactive environments. This paper discusses the implementation of digital twin-enabled MBSE testbed which employs a smart dashboard to support experimentation with dynamic scenario execution, monitoring, visualization and control.","1095-323X","978-1-7281-7436-5","10.1109/AERO50100.2021.9438439","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9438439","","Analytical models;Tools;Inspection;Aerospace testing;Emergency services;Distance measurement;Data models","aerospace computing;autonomous aerial vehicles;control engineering computing;inspection;mobile robots;open systems;security of data;software engineering","multiUAV swarms;MBSE research;model integration;MBSE tools;model based systems engineering;system-of-systems;aerospace systems;support experimentation;digital twin-enabled MBSE testbed","","2","","13","IEEE","7 Jun 2021","","","IEEE","IEEE Conferences"
