title,abstract,year
Extension of the Modeling Tool Suite for Development of Embedded Systems for the Space Domain,"As code complexity continues to increase, software development methods must support the handling of this complexity and reduce development failures. Model-based systems engineering (MBSE) is a modeling-centered development method that provides support to maintain consistency of different phases of the life cycle. Automatic code generation tools were created to reuse software solutions and design patterns and reduce development errors in the software development process, based on automatic model transformations and code generators. However, the use of these tools requires their adaptation to specific platforms and domains since tools only support certain functionalities. What determines how to approach the design of the system are the functionalities provided by the tools available rather than the user needs. In this paper, we propose a way to extend the elements supported by modelling tool suites for real-time embedded systems for the space domain. This enables developers to have greater flexibility by allowing them to modify their tool suite to fit their needs.",2022
Chapter 2 - Model-Based Systems Engineering,"Publisher Summary
This chapter summarizes model-based systems engineering (MBSE) concepts to provide further context for SysML without emphasizing the specific modeling language, method, or tools. MBSE is contrasted with the more traditional document-based approach to promote the use of MBSE and highlight its benefits. Principles for effective modeling are also discussed in the chapter. The practice of systems engineering is transitioning from a document-based approach to a model-based approach like many of the other engineering disciplines, such as mechanical and electrical engineering. MBSE offers significant potential benefits to enhance communications, specification and design precision, design integration, and reuse that can improve design quality and productivity and reduce development risk. The emphasis in MBSE is on producing and controlling a coherent system model and using this model to specify and design the system.",2008
Model Based Systems Engineering in Modular Design – A Potential Analysis using Portal Type Scraper Reclaimers as an Example,"Many industries have to react progressively to the increasing customer requirements regarding the individualization of products. As a consequence, companies are using more and more standardization methods, such as modular, platform or type series design. This leads to an increased complexity of product development processes and thus to the necessity of concepts which allow a consistent representation of constructions kits. Model Based Systems Engineering (MBSE) can support the development of such systems. A case study carried out in cooperation with thyssenkrupp Industrial Solutions shows the potential of the approach using the industrial sector, the machinery and plant engineering industry as an example.",2016
Managing the use of simulation in systems engineering: An industrial state of practice and a prioritization method,"Model-based systems engineering (MBSE) has been proposed as an approach to manage the complexity of modern product development through the continuous use of models. The use of model simulation is a core principle of the MBSE approach. In the early stages of projects, it for example supports defining the expected system features, when in the later phases it can be used to estimate the dynamic behavior. Simulation is pushed to obtain results earlier and cheaper than with testing and prototyping. However, the development of simulation can be a very tedious and expensive task. Simulation opportunities are numerous, but the project managers must identify the more relevant for their project. This paper aims at documenting the current state of practice on the usage of simulation in MBSE processes. Then it aims at exploring decision support opportunities for simulation use in MBSE projects. The paper presents a survey conducted amongst French companies, on how they apply MBSE, Verification Validation & Testing (VVT), and simulation. The perceived benefits, barriers, and the parameters influencing VVT strategies, and the use of simulation are alternately analyzed. The results of the survey are used to propose a Prioritization of Simulation Efforts Methodology (PSEM) to assists managers in choosing the right functions, or systems’ elements to be simulated.",2021
Integration of model based system engineering into the digital twin concept,"For some years now, digitalization has made its way into all phases of the product life cycle. With the help of the modeling language SysML, Model-Based Systems Engineering (MBSE) represents a modern approach in product development. At the same time, the technologies of Industrie 4.0 and digital twin are opening up a new level of efficiency to producing companies. But entertainment technology is also finding its way into business: Virtual Reality (VR) provides an immersive and cost-effective way to perceive products in the early stages of product development. In order to provide these with quickly available data for display and simulation, it is worthwhile to expand the MBSE approach. This work describes how a product model can be extended by a simulative function structure. On the one hand, this work describes how the Cameo System Modeler can be used to extend a product model with a simulative functional structure. On the other hand, it explains how to extend an existing product model by modeling the information required to efficiently and consistently translate an Engineering Bill of Materials (EBOM) into a Manufacturing Bill of Materials (MBOM).",2021
State-of- practice survey in industry on the deployment of simulation in systems engineering,"Model-based systems engineering (MBSE) has been proposed as an approach to manage the complexity of modern product development through the continuous use of models. The use of model simulation is a core principle of the MBSE approach. In the first stages of projects, it supports defining the expected system features, when in the later stages it estimates the dynamic behavior. Simulation is pushed to obtain results earlier and cheaper than with testing and prototyping. However, the development of simulation can be a very tedious and expensive task. The use of simulation is a specific part of an MBSE approach that is crucial in an efficient project management since it might be the source of high cost and skills needs but also a source of precious knowledge on the future system. Simulation opportunities are numerous, but the project manager must identify the more relevant for their project. This paper aims at documenting the current state of practice in industry on the usage of simulation in MBSE processes. The paper presents a survey conducted amongst French companies, on how they apply MBSE, Verification Validation & Testing VVT, and simulation. The perceived benefits and barriers, and the parameters influencing VVT strategies and the use of simulation are alternately analyzed.",2021
Model-based system engineering supporting production scheduling based on satisfiability modulo theory,"Production scheduling enables a production system to allocate resources for the efficient and low-cost production. However, pure mathematical methods are typically utilized for production scheduling, which are not understandable and practical for different domain engineers. Moreover, heterogeneous information during production scheduling may result in communication ambiguity or an information delay. Furthermore, the interaction and reuse of production data is limited, owing to the lack of a unified expression of the production information. To overcome these challenges, a model-based systems engineering (MBSE) approach based on the satisfiability modulo theory (SMT) is proposed to support production scheduling. A multiple architectural view modeling language, KARMA, is used as the basis to construct production scheduling elements and formalize the production scheduling processes using architecture models. Such graphical models are used to improve the understanding and communication among engineers in different domains. Then, property verification based on the MBSE and SMT is applied to solve the model constraints and select optimal schemes for the production scheduling. A case study of a package production line is proposed to evaluate our approach. Its scheduling goal is to maintain high production efficiency, decrease the working time and the cost of workers when increasing working distances during the COVID-19 pandemic. From the case study, we observed that KARMA language enables a description of modeling production scheduling and the optimization of scheduling schemes in a unified manner. Using the SMT solver, the constraints on scheduling corresponding to the sudden decrease in workers are evaluated to exclude inappropriate schemes and generate the optimal one.",2022
A Survey of Model-Based System Engineering Methods to Analyse Complex Supply Chains: A Case Study in Semiconductor Supply Chain,"Model-Based System Engineering (MBSE) is an increasingly important methodology to support system engineering and has attained a high level of attentiveness in business simulation practices as a conceptual modelling approach. In this paper, we present our results related to the application of MBSE approaches in complex semiconductor manufacturing supply chain planning systems. We investigate System Modeling Language (SysML), Web Ontology Language (OWL) and Business Process Modeling Notation (BPMN) as different approaches and languages for MBSE. These approaches are surveyed and used to develop conceptual models for the simulation of the order management process inside the supply chain management. This study aims to survey and offer a number of implications for MBSE practice and seeks to stimulate and guide further research in this area.",2019
Requirements for High Level Models Supporting Design Space Exploration in Model-based Systems Engineering,"Most formal models are used in detailed design and focus on a single domain. Few effective approaches exist that can effectively tie these lower level models to a high level system model during design space exploration. This complicates the validation of high level system requirements during detailed design. In this paper, we define requirements for a high level model that is firstly driven by key systems engineering challenges present in industry and secondly connects to several formal and domain specific models used in model-based design. We analysed part of the systems engineering process at a company developing complex systems, by observing the design process and by analysing design documentation and development databases. By generalizing these observations, we identified several high level systems engineering challenges. They are compared to literature, focusing on reported systems engineering challenges and on existing approaches that incorporate high level models in model-based systems engineering. Finally, we argue that high level system models supporting design space exploration should be able to communicate information regarding design trade-offs (e.g. safety versus ease of use) effectively in a multidisciplinary setting. In our outlook, we propose how to continue our research, by recommending further research and defining a research question.",2013
Implementation of Human System Integration (HSI) and ‘Non-functional Characteristics’ into the Systems Engineering Lifecycle - A Practical Approach at Airbus Defence and Space,"This paper provides an overview of the process, practices, developments and synergies that Airbus Defence and Space are implementing Human System Integration (HSI) into the Continuous Engineering /Model Based System Engineering (MBSE) throughout the company. The paper highlights these developments, which include internal research programmes, European Union funded research projects, Airbus internal Synergy project. This research includes an EU funded 3 year project HoliDes - Holistic Human Factors and System Design of Adaptive Cooperative Human Machine Systems. Continuous engineering within Airbus has included various corporate and divisional Synergy programs and lean and agile initiatives. As our business is defined by Multiple Portfolio products, supplied from multi countries, the MBSE process had to speed up delivery and reduce overall cost. The Airbus process models needed significant amendment due to products supplied via multiple business lines throughout the company. This problem is exacerbated by varying requirements of four national defence requirements, who impose restrictions on the use of Architectural Frameworks (NAF/MODAF/DODAF) and supporting tools. Our Human System Integration (HSI) is continuing from the initial Human View Architectural Framework research to include the nine HSI domains. These nine domains overlap with our current Human factors research and will now allow us to pull in our Non-functional work into our Systems Engineering lifecycle. This paper highlights the research projects Airbus Space and Defence are incorporating in to our overall strategy, these include internal R&D funding and European Union funded research programs. These research projects have highlighted several areas of interest these include, stochastic modelling with respect to Human System Integration and Human views, verification and analysis of emergent behaviour and non-functional properties, which conforms with our own work on non-functional requirements and finally the use of System of System Formal Methods for parts of the lifecycle.",2015
Chapter 2 - Model-Based Systems Engineering,"Chapter 2 summarizes model-based systems engineering (MBSE) concepts to provide further context for SysML without emphasizing a specific modeling language, method, or tool. MBSE is contrasted with the more traditional document-based approach to motivate the use of MBSE and highlight its benefits. Principles for effective modeling are also discussed including a discussion on model-based metrics.",2015
Model-Based System Integration (MBSI) – Key Attributes of MBSE from the System Integrator's Perspective,"Many system developments fail at the integration and qualification (I&Q) phases in the development and acquisition cycle. How can we, as Systems Engineers (SE), navigate the uncertainty and risk of system development to ensure I&Q success? One solution is applying significant influence of the system integrator (SI) member of the SE team at the very beginning of system design. If this is a solution, then what processes, methods, and practices can the SI apply in the overall SE process? Can the emerging Model-Based Systems Engineering (MBSE) methods and tools be leveraged by the SI? This paper discusses a Model Based System Integration (MBSI) approach that applies essential MBSE methods and tools to the unique goals of the SI. While MBSE is supportive of the entire SE process, it tends to be optimized for the design-side of the SE process and not necessarily for I&Q goals and objectives. MBSI highlights how MBSE tools and methods can be extended to benefit the SI. Lessons- learned from several SE graduate school projects applying these MBSI methods are provided to demonstrate the efficacy of the MBSI approach.",2013
Chapter 1 - What Is Model-Based Systems Engineering?,"This chapter provides a short overview of systems engineering approaches, activities, and goals and how model-based systems engineering (MBSE) can help achieve them. The chapter makes the distinction between systems and discipline-specific engineering disciplines and then identifies and describes the primary systems engineering activities and their resulting engineering data. Following this, the three primary workflow models (V-Model, Incremental Model, and Hybrid V-Model) are discussed as means for sequencing the system engineering activities. With that basic understanding in place, the chapter proceeds with the advantages of MBSE over traditional document-centric approaches—such as supporting deeper reasoning about system properties and providing a single source of engineering truth. A short discussion of how to move from traditional methods to MBSE is supplied in the section on “Adopting MBSE.” The chapter winds up with “The Rules of Modeling” to provide a set of guidelines for new practitioners.",2016
Managing knowledge and parameter dependencies with MBSE in textile product development processes,"Today’s mechanical engineering companies are confronted with challenges like new material technologies, shorter product life cycles, increasing interdisciplinarity of the various departments as well as product development across distributed company locations. In the context of lightweight design, Tailored Textiles offer promising potentials to reduce product weight and manufacturing costs. Tailored Textiles are textiles with integrated local reinforcements whose textile properties can be adapted locally during the production due to the textile structures, so that process steps and therefore time and costs can be reduced. However, the production-oriented design of Tailored Textiles is currently very complex. One reason for this is the large number of stakeholders that are involved in the process. In order to make this complexity manageable, it is necessary to develop a common understanding of the textile process chain and to improve communication between different stakeholders. Another major challenge is the identification and management of technical parameter dependencies over the entire product development process (PDP). The aim pursued by this work is to link the technical parameter level of different expert models with the process level of Tailored Textiles PDP, so that expert knowledge is externalized to other stakeholders In this context, Model-Based Systems Engineering (MBSE) is a promising approach. Through the formalized application of modeling, MBSE allows the process accompanying development of a system model, which enables the visualization of the parameter dependencies within the product development process. In this paper, a methodological approach is presented which initially involves modeling the PDP for Tailored Textiles in a product data management system (PDMS). The process is then linked to a MBSE modeling tool. In the modeling tool, the analyzed parameters and their dependencies are set up and visualized. Following this procedure, the feasibility of the design will be evaluated based on a use case.",2020
Enabling complexity management through merging business process modeling with MBSE,"Integral products are characterized by multiple functional use of components, resulting in more compact and lighter products. However, those benefits come along with a significant increase in development process complexity. This complexity represents a significant risk in the value-creation chain. For the efficient fulfilment of customer needs and market requirements, strategies are required to cope with the complexity of integral products. A promising approach in this context is Model Based Systems Engineering (MBSE). Through the formalized application of modeling, MBSE allows the development of a system model to support the development process. The model enables a visualization of the process complexity and thus an identification of the essential complexity drivers. This knowledge is mandatory for the coordinated initiation of countermeasures. However, MBSE is not yet fully integrated in today’s product development processes (PDP). One reason for this is an insufficient interconnection between system models and business processes. This paper presents an approach for merging MBSE with business processes. The procedure comprises the modeling of exemplary business processes in a product data management system (PDMS). These processes are linked to a MBSE modeling tool via a RESTful API. Synergetic potentials of this connection are pointed out, based on scenarios from requirements management, product configuration and risk management. Finally, a discussion takes place regarding the degree of maturity to master complexity in business processes with MBSE.",2019
Modular Inspection Equipment Design for Modular Structured Mechatronic Products – Model Based Systems Engineering Approach for an Integrative Product and Production System Development,"Quality control is an essential part of the production of modular mechatronic systems. Especially the quality inspection of the overall system at the end of the production is of extraordinary importance. The associated inspection equipment can also be a mechatronic system, which is often explicitly designed and manufactured for one product with a large expenditure of time. In order to have the needed inspection equipment ready by the start of production (SoP) and to consider additional requirements to the product, which are produced by the inspection equipment concept, an integrative mechatronic product and inspection equipment development procedure is needed. Furthermore, the inspection system has to consider the modularity of the system and often has to be designed in a modular way. Nowadays, the development of complex mechatronic systems is often carried out with the help of model-based systems engineering (MBSE) methods. Consequently, the inspection equipment should also be designed with the help of MBSE. This paper describes an integrative product and inspection equipment procedure for modular mechatronic systems with the help of MBSE. Especially the peculiarity of the modularity is described and validated with the help of an application example.",2016
Managing inter-model inconsistencies in model-based systems engineering: Application in automated production systems engineering,"To cope with the challenge of managing the complexity of automated production systems, model-based approaches are applied increasingly. However, due to the multitude of different disciplines involved in automated production systems engineering, e.g., mechanical, electrical, and software engineering, several modeling languages are used within a project to describe the system from different perspectives. To ensure that the resulting system models are not contradictory, the necessity to continuously diagnose and handle inconsistencies within and in between models arises. This article proposes a comprehensive approach that allows stakeholders to specify, diagnose, and handle inconsistencies in model-based systems engineering. In particular, to explicitly capture the dependencies and consistency rules that must hold between the disparate engineering models, a dedicated graphical modeling language is proposed. By means of this language, stakeholders can specify, diagnose, and handle inconsistencies in the accompanying inconsistency management framework. The approach is implemented based on the Eclipse Modeling Framework (EMF) and evaluated based on a demonstrator project as well as a small user experiment. First findings indicate that the approach is expressive enough to capture typical dependencies and consistency rules in the automated production system domain and that it requires less effort compared to manually developing inter-model inconsistency management solutions.",2019
Investigations on MBSE modelling and dynamic performance assessment of an electrical trimmable horizontal stabilizer actuator,"With the development of power-by-wire technology for more electric aircraft, the electro-mechanical actuator (EMA) has the advantages to replace the conventional hydraulic servo actuator in some aerospace flight controls. Conventional hydraulically powered trimmable horizontal stabilizer actuation (THSA) system is nowadays developed to be electrically supplied. Given their safety-criticality, no-back mechanism and redundant load paths are utilized to meet the flight control requirements. However, rare literatures have introduced these functions and addressed the virtual prototyping activities from system-level point of view. This paper proposed such a model of a THSA system with dual electric power sources and fault-tolerant mechanical load paths. The nonlinear effects of components are considered with realism, and system-level simulation test is conducted to support the model-based system engineering (MBSE) approach. The models are developed with a power view instead of a pure signal view. Focusing on the friction effect and compliance effect with backlash or preload, some improved and novel approaches are adopted for these crucial components and validated via experimental results. Meanwhile, the implemented system-level model enables injection of crucial faults. Finally, the simulation of the proposed model shows that it is an efficient resource to investigate the actuator’s dynamic performance, to virtually prove that the actuator meets the fail/safe constraint, and to demonstrate the soundness of the fault monitoring functions.",2023
MBSE and V&V: a tool-equipped method for combining various V&V strategies,"Model-Based System engineering (MBSE) promotes Verification and Validation (V&V) as crucial activities to demonstrate, during the system design stage and based on models, that a system meets requirements defined by stakeholders and that it fulfills its intended purpose. Model V&V activities are defined through the following strategies: Model Appraisal, Guided Modelling, Simulation and Formal Proof. Regarding the objectives of each individual strategy, they are considered as complementary, therefore mutually beneficial when combined, for reaching the overall V&V objectives. Various techniques and tools permit nowadays the implementation of each strategy. However, the successful combination and implementation of all four strategies remains still difficult (difference of concepts), time consuming (transformation and dedicated modelling are often requested) and generally expensive. This paper introduces a tool-equipped method for the successful and eased combination and implementation of all four V&V strategies to provide stakeholders with a high level of confidence in decision-making based on models.",2017
Designing Warehouse Logical Architecture by Applying Object Oriented Model Based System Engineering,"Warehouses perform series of interacting processes. Each process includes sub-processes and requires different resources. This structure makes warehouses complex-system or system-of-system (SOS) from design perspective. Model based system engineering (MBSE) facilitates SOS design. On the other hand, object-oriented modeling (OO) is a well-known approach for capturing complexity of software systems. This paper aims leveraging conceptual design of warehouse, by applying OO in MBSE. In this context, warehouse is analyzed with respect to abstract processes which transform item status/unit. Afterwards, warehouse logical architecture is designed using these processes. Introduced approach develops coherent meta-model for generating design alternatives in conceptual design stage.",2016
Model-based systems engineering: application and lessons from a technology maturation project,"The Tactical Assault Light Operator Suit (TALOS) project is a Special Operations Command (SOCOM) initiative to enhance operator performance, situational awareness, survivability, and lethality. The project adopted a Model-Based Systems Engineering (MBSE) approach to manage the structural system configuration and support the test and integration plan. This approach relies on a unified model in the Systems Modeling Language (SysML) to capture the logical and physical aspects of the system design. The MBSE approach was used to develop a test and evaluation framework that allows for traceability of test plans back to performance requirements. Additionally, the model supported the integration of hardware and software as well as the design of wire harnesses; the MBSE approach provided benefits over more traditional integration techniques. This paper provides lessons learned including the need to balance requirements analysis with functional characterization and the products that were generated from the model. Overall the adoption of the MBSE approach provided lessons on managing a system’s configuration among a distributed team.",2019
Maturity assessment of Systems Engineering reusable assets to facilitate MBSE adoption,"To enable the transition towards Model-Based Systems Engineering, it is necessary to provide engineering assets models during system architecture design phases. As promoted in the software community, systematic reuse allows significant gains in development productivity and quality. Thus, to develop a reuse strategy, a maturity scale facilitates determining the maturity level at which a company operates. In this way, it is possible to assess the progress margins and therefore estimate necessary efforts to improve maturity through a corresponding action plan. For this reason, this article proposes a scale to evaluate the maturity of the Systems Engineering assets reuse process.",2021
Network Science Enabled Cost Estimation in Support of MBSE,"As Model-Based Systems Engineering (MBSE) continues to mature, additional analyses can be performed to understand the relationships between a system's cost, schedule, and performance. The DoD Architecture Framework (DoDAF) is one of many approaches for representing the relationship between system components. If DoDAF diagrams - such as those provided in the Systems View - are treated as networks, they can be mathematically analyzed, providing additional summary metrics that might yield valuable insight into the degree of effort (i.e., cost) required to bring a system to fruition. For instance, if we view the addition of a new subsystem to the system's architecture abstractly as the addition of a vertex to a network, we can apply contemporary methods from network science to grow the network and estimate its cost. Unlike rules of thumb, this approach provides us with an objective way to quantify and assess change. The objective of this work is to turn MBSE knowledge into computational knowledge in order to support tradeoffs, change impact analysis, and related approaches early in the life cycle.",2013
A Review on Application of Model Based Systems Engineering to Manufacturing and Production Engineering Systems,"Increasing complexity in today’s manufacturing and production industry due to the need for higher flexibility and competitiveness is leading to inconsistencies in the iterative exchange loops of the system design process. To address these complexities and inconsistencies, an ongoing industry trend for organizations to make a transition from document-centric principles and applications to being model-centric is observed. In this paper, a literature review is presented highlighting the current need for an industry-wide transition from document-centric systems engineering to Model-Based Systems Engineering (MBSE). Further, investigating the tools and languages used by the researchers for facilitating the transition to and the integration of MBSE approach, we identify the most commonly used tools and languages to highlight the applicability of MBSE in the manufacturing and production industry.",2021
A visualization framework for product manufacturing data,"Model-based systems engineering (MBSE) plays a vital role in complex product development. In order to make the system modeling processes consistent with the business processes of the industry, it is necessary to use the product lifecycle management (PLM) system to manage system models. In this paper a SysML-based domain specific meta-model is proposed to support a visualization framework that includes graphics and data synchronization, which enables PLM software to present the product manufacturing data and models under the practicing of MBSE. Product manufacturing process and data are described, and the allocation of resource is represented in the early design phase.",2021
Study on the feasibility of modelling notations for integrated Product-Service Systems Engineering,"Developing products and services concurrently bears great potential as well as challenges. Systems Engineering (SE) is an interdisciplinary approach, which aims to enable the realization of successful systems. Model-based systems engineering (MBSE) is a SE approach focusing on the utilization of models for information exchange instead of documents. Methods and tools for MBSE are advanced and effective. Nevertheless, the field predominantly focuses on technical systems rather than on services and business models. In the context of the increasing importance of the Service Economy and rising innovative business models, an extension of the MBSE methods and tools to a service- and business model-centric view constitutes a research gap. Sufficient methods for requirements definition in PSS design have been developed. In concept design, the outline or rough concept of the product is defined. This step is currently not supported with useful methods. In order to address this research gap, the authors have proposed Integrated Product Service Architectures (IPSSAs) in previous research, which depict physical product architectures and service architectures in one integrated model. In previous studies, Systems Modelling Language (SysML) was identified as suitable modelling notations for IPSSAs, but several drawbacks of the notation were noted. Within this paper, a study is presented, which identifies suitable combinations of modelling notations and diagrams for IPSSA modelling. The combination of several diagrams from SysML, Business Process Modelling Notation (BPMN) and Data Flow Architecture is used on the practical example of ELSA (Engineering Living Systems of Autonomy), a service robot for guest and plant care. In order to address the lack of process-based service modelling in SysML, BPMN is added to common SysML modelling. In order address the data flow dimension, a third modelling notation, the Data Flow Architecture is proposed.",2019
